"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"15204","PITTSBURGH, PA","G",775,"G",8509,"G",35677,74,"PITTSBURGH","PA","ALLEGHENY"
"15205","PITTSBURGH, PA","G",27989,"G",396544,"G",1459727,1082,"PITTSBURGH","PA","ALLEGHENY"
"15206","PITTSBURGH, PA","G",12902,"H",213927,"H",801133,787,"PITTSBURGH","PA","ALLEGHENY"
"15207","PITTSBURGH, PA","G",1022,"G",11850,"G",48383,140,"PITTSBURGH","PA","ALLEGHENY"
"15208","PITTSBURGH, PA","H",2447,"H",33458,"H",123953,181,"PITTSBURGH","PA","ALLEGHENY"
"15209","PITTSBURGH, PA","G",2043,"G",19231,"G",70139,237,"PITTSBURGH","PA","ALLEGHENY"
"15210","PITTSBURGH, PA","G",1626,"G",12480,"G",51742,257,"PITTSBURGH","PA","ALLEGHENY"
"15211","PITTSBURGH, PA","G",1111,"G",9479,"G",34418,129,"PITTSBURGH","PA","ALLEGHENY"
"15212","PITTSBURGH, PA","G",28367,"G",680404,"G",2466300,753,"PITTSBURGH","PA","ALLEGHENY"
"15213","PITTSBURGH, PA","G",60148,"G",795852,"G",3224657,708,"PITTSBURGH","PA","ALLEGHENY"
"15214","PITTSBURGH, PA","G",1173,"G",13775,"G",52483,91,"PITTSBURGH","PA","ALLEGHENY"
"15215","PITTSBURGH, PA","H",5360,"H",69383,"H",277871,379,"PITTSBURGH","PA","ALLEGHENY"
"15216","PITTSBURGH, PA","G",3819,"G",27970,"G",110479,418,"PITTSBURGH","PA","ALLEGHENY"
"15217","PITTSBURGH, PA","G",7070,"G",63859,"G",249208,544,"PITTSBURGH","PA","ALLEGHENY"
"15218","PITTSBURGH, PA","H",4169,"H",32674,"H",131221,268,"PITTSBURGH","PA","ALLEGHENY"
"15219","PITTSBURGH, PA","G",34505,"G",765350,"G",2683843,1141,"PITTSBURGH","PA","ALLEGHENY"
"15220","PITTSBURGH, PA","G",19454,"G",252781,"G",1005754,716,"PITTSBURGH","PA","ALLEGHENY"
"15221","PITTSBURGH, PA","G",7060,"G",75033,"G",300120,509,"PITTSBURGH","PA","ALLEGHENY"
"15222","PITTSBURGH, PA","G",59467,"G",1727910,"G",5132617,1558,"PITTSBURGH","PA","ALLEGHENY"
"15223","PITTSBURGH, PA","H",2770,"H",27305,"H",98600,193,"PITTSBURGH","PA","ALLEGHENY"
"15224","PITTSBURGH, PA","H",10032,"J",140791,"J",578707,294,"PITTSBURGH","PA","ALLEGHENY"
"15225","PITTSBURGH, PA","G",2920,"H",42277,"H",172993,98,"PITTSBURGH","PA","ALLEGHENY"
"15226","PITTSBURGH, PA","G",2321,"G",24235,"G",101873,192,"PITTSBURGH","PA","ALLEGHENY"
"15227","PITTSBURGH, PA","G",4011,"G",34169,"G",147734,389,"PITTSBURGH","PA","ALLEGHENY"
"15228","PITTSBURGH, PA","G",3634,"G",29008,"G",120964,423,"PITTSBURGH","PA","ALLEGHENY"
"15229","PITTSBURGH, PA","G",2161,"G",18960,"G",81180,230,"PITTSBURGH","PA","ALLEGHENY"
"15230","PITTSBURGH, PA","J",921,"J",10430,"J",41593,7,"PITTSBURGH","PA","ALLEGHENY"
"15231","PITTSBURGH, PA","H",3865,"J",49523,"J",153539,78,"PITTSBURGH","PA","ALLEGHENY"
"15232","PITTSBURGH, PA","H",9854,"H",138338,"H",558417,356,"PITTSBURGH","PA","ALLEGHENY"
"15233","PITTSBURGH, PA","G",6985,"G",105758,"G",410785,257,"PITTSBURGH","PA","ALLEGHENY"
"15234","PITTSBURGH, PA","G",3940,"G",32952,"G",133088,380,"PITTSBURGH","PA","ALLEGHENY"
"15235","PITTSBURGH, PA","G",9828,"G",91792,"G",372188,731,"PITTSBURGH","PA","ALLEGHENY"
"15236","PITTSBURGH, PA","G",12561,"G",122022,"G",487971,745,"PITTSBURGH","PA","ALLEGHENY"
"15237","PITTSBURGH, PA","G",25868,"G",245118,"G",987458,1614,"PITTSBURGH","PA","ALLEGHENY"
"15238","PITTSBURGH, PA","G",21319,"G",348671,"G",1359082,721,"PITTSBURGH","PA","ALLEGHENY"
"15239","PITTSBURGH, PA","G",4520,"G",40127,"G",173150,461,"PITTSBURGH","PA","ALLEGHENY"
"15240","PITTSBURGH, PA","J",3142,"J",64672,"J",258675,4,"PITTSBURGH","PA","ALLEGHENY"
"15241","PITTSBURGH, PA","G",8639,"G",86841,"G",343650,697,"PITTSBURGH","PA","ALLEGHENY"
"15242","PITTSBURGH, PA","H",158,"G",1501,"G",5728,4,"PITTSBURGH","PA","ALLEGHENY"
"15243","PITTSBURGH, PA","G",4270,"H",54791,"H",232509,190,"PITTSBURGH","PA","ALLEGHENY"
"15258","PITTSBURGH, PA","J",5360,"J",169269,"J",472723,98,"PITTSBURGH","PA","ALLEGHENY"
"15259","PITTSBURGH, PA","H",138,"J",11795,"J",30259,5,"PITTSBURGH","PA","ALLEGHENY"
"15260","PITTSBURGH, PA","J",338,"H",2328,"G",14628,45,"PITTSBURGH","PA","ALLEGHENY"
"15261","PITTSBURGH, PA","H",310,"H",939,"G",2448,9,"PITTSBURGH","PA","ALLEGHENY"
"15262","PITTSBURGH, PA","J",2091,"J",40085,"J",129209,7,"PITTSBURGH","PA","ALLEGHENY"
"15272","PITTSBURGH, PA","J",919,"J",121448,"J",240606,3,"PITTSBURGH","PA","ALLEGHENY"
"15275","PITTSBURGH, PA","G",11271,"G",225660,"G",807283,216,"PITTSBURGH","PA","ALLEGHENY"
"15276","PITTSBURGH, PA","H",3480,"H",86511,"H",264225,90,"PITTSBURGH","PA","ALLEGHENY"
"15301","WASHINGTON, PA","G",28749,"G",317124,"G",1204468,1532,"WASHINGTON","PA","WASHINGTON"
"15311","AMITY, PA","J",41,"H",270,"H",1484,12,"AMITY","PA","WASHINGTON"
"15312","AVELLA, PA","H",172,"G",965,"G",3874,47,"AVELLA","PA","WASHINGTON"
"15313","BEALLSVILLE, PA","H",59,"H",382,"H",1705,11,"BEALLSVILLE","PA","WASHINGTON"
"15314","BENTLEYVILLE, PA","G",881,"G",6493,"G",27027,97,"BENTLEYVILLE","PA","WASHINGTON"
"15315","BOBTOWN, PA","G",7,"H",28,"H",88,3,"BOBTOWN","PA","GREENE"
"15316","BRAVE, PA","H",23,"J",259,"J",6435,3,"BRAVE","PA","GREENE"
